exchange,shortName,industryID,industryIDv2,industryIdLevel2,industryIdLevel4,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HOSE,An Phát Bioplastics,150.0,1353,1300,1353,Hóa chất,Chemicals,2007,1689.0,27697.0,0.067,https://anphatbioplastics.com,2.8,0.002,0.132,0.12,382.3,382.3,CT,AAA,,,,
HOSE,Thủy sản Mekong,217.0,3573,3500,3573,Thực phẩm và đồ uống,Food & Beverage,2002,159.0,0.0,0.009,http://www.mekongfish.vn,,0.002,-0.017,-0.312,10.5,12.3,CT,AAM,,,,
HOSE,Tập đoàn Tiên Sơn Thanh Hóa,226.0,3763,3700,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,1995,950.0,4408.0,0.009,http://tiensonaus.com,2.2,0.027,-0.048,0.022,70.8,70.8,CT,AAT,,,,
HOSE,Đầu tư Nhãn Hiệu Việt,195.0,2791,2700,2791,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012,89.0,513.0,0.487,http://www.vbinvest.com.vn,3.1,-0.009,-0.079,0.016,20.0,20.0,CT,ABR,,,,
HOSE,DV Nông nghiệp Bình Thuận,253.0,5379,5300,5379,Bán lẻ,Retail,2004,63.0,7471.0,0.0,http://www.bitagco.com,2.7,0.024,-0.032,-0.139,80.0,80.0,CT,ABS,,,,
HOSE,Thủy sản Bến Tre,217.0,3573,3500,3573,Thực phẩm và đồ uống,Food & Beverage,,591.0,1032.0,0.019,https://aquatexbentre.com,3.1,-0.035,-0.02,-0.098,11.8,14.4,CT,ABT,,,,
HOSE,ACB,289.0,8355,8300,8355,Ngân hàng,Banks,,13190.0,44011.0,0.3,https://www.acb.com.vn,3.3,-0.004,0.027,0.164,3884.1,3884.1,NH,ACB,,,,
HOSE,Đầu tư và XD Bình Dương ACC,180.0,2353,2300,2353,Xây dựng và Vật liệu,Construction & Materials,2008,242.0,1647.0,0.078,https://www.becamexacc.com.vn,2.3,-0.008,-0.03,-0.279,105.0,105.0,CT,ACC,,,,
HOSE,Gỗ An Cường,155.0,1733,1700,1733,Tài nguyên Cơ bản,Basic Resources,2006,2653.0,477.0,0.385,https://www.ancuong.com,2.4,-0.013,-0.009,-0.16,150.8,150.8,CT,ACG,,,,
HOSE,Thủy sản CL An Giang,217.0,3573,3500,3573,Thực phẩm và đồ uống,Food & Beverage,1986,1548.0,0.0,0.024,https://clfish.com,2.1,-0.004,-0.005,-0.131,50.2,50.2,CT,ACL,,,,
HOSE,Clever Group,255.0,5555,5500,5555,Truyền thông,Media,2008,284.0,761.0,0.478,https://clevergroup.vn,2.2,-0.016,-0.084,-0.399,21.4,21.4,CT,ADG,,,,
HOSE,Sơn Á Đông,180.0,2353,2300,2353,Xây dựng và Vật liệu,Construction & Materials,2000,155.0,0.0,0.008,http://adongpaint.com.vn,3.0,-0.007,0.042,0.231,23.0,23.0,CT,ADP,,,,
